species,fb,wall,orn,shape,volume,genus,family,order,class,phylum
Dacrymyces.microsporus,Discoid,Thin,No,2.642857143,88.99542939,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.minor,Discoid,Thin,No,2.764705882,166.6884883,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.minutus,Discoid,Thin,No,2.933333333,121.4912784,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.ovisporus,Discoid,Thin,No,1.333333333,1491.029326,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.sp1.,Discoid,Thin,No,1.666666667,954.2587685,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.sp2.,Discoid,Thin,No,1.904761905,110.8353888,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.stillatus,Discoid,Thick,No,2.818181818,368.2535639,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacrymyces.tortus,Discoid,Thick,No,3.333333333,138.0582709,Dacrymyces,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Dacryobolus.karstenii,Resupinate,Thin,No,3.888888889,7.514787802,Dacryobolus,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Dacryobolus.sudans,Resupinate,Thin,No,3.666666667,9.719302272,Dacryobolus,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Daldinia.concentrica,Stromatoid,Thin,No,1.875,753.9822369,Daldinia,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota
Dialonectria.cf.episphaeria,Pyrenoid,Thin,Yes,2.380952381,270.594211,Dialonectria,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota
Diatrype.stigma,Stromatoid,Thin,No,5,31.41592654,Diatrype,Diatrypaceae,Xylariales,Sordariomycetes,Ascomycota
Diatrypella.sp1.,Stromatoid,Thin,No,5.090909091,5.321857955,Diatrypella,Diatrypaceae,Xylariales,Sordariomycetes,Ascomycota
Dichostereum.boreale,Resupinate,Thick,Yes,1.4,57.98447378,Dichostereum,Lachnocladiaceae,Russulales,Agaricomycetes,Basidiomycota
Ditiola.peziziformis,Discoid,Thin,No,3.166666667,1813.09166,Ditiola,Dacrymycetaceae,Dacrymycetales,Dacrymycetes,Basidiomycota
Durella.melanochlora,Discoid,Thin,No,2.842105263,239.2273718,Durella,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Echinosphaeria.canescens,Pyrenoid,Thin,No,7.777777778,556.6509483,Echinosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Echinosphaeria.cincinnata,Pyrenoid,Thick,No,2,261.3412389,Echinosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Elmerina.caryae,Resupinate,Thin,No,2.22,27.24349879,Elmerina,Exidiaceae,Auriculariales,Agaricomycetes,Basidiomycota
Endoxyla.macrostoma,Pyrenoid,Thin,No,3.928571429,67.73273761,Endoxyla,Boliniaceae,Boliniales,Sordariomycetes,Ascomycota
Endoxyla.parallela,Stromatoid,Thin,No,4.413793103,84.54654149,Endoxyla,Boliniaceae,Boliniales,Sordariomycetes,Ascomycota
Endoxyla.rostrata,Pyrenoid,Thin,No,3,12.62772985,Endoxyla,Boliniaceae,Boliniales,Sordariomycetes,Ascomycota
Entoloma.depluens,Gilled,Thin,No,1.344827586,402.5042869,Entoloma,Entolomataceae,Agaricales,Agaricomycetes,Basidiomycota
Eutypa.flavovirens,Stromatoid,Thin,No,3.111111111,27.83254742,Eutypa,Diatrypaceae,Xylariales,Sordariomycetes,Ascomycota
Exidia.glandulosa,Discoid,Thin,No,3.25,163.362818,Exidia,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Exidia.repansa,Discoid,Thin,No,4.333333333,91.89158512,Exidia,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Exidia.saccharina,Discoid,Thin,No,3.266666667,135.2971055,Exidia,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Exidiopsis.calcea,Resupinate,Thin,No,2.52173913,376.5247883,Exidiopsis,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Exidiopsis.effusa,Resupinate,Thin,No,3.055555556,218.6843011,Exidiopsis,Auriculariaceae,Auriculariales,Agaricomycetes,Basidiomycota
Flagelloscypha.sp1.,Discoid,Thin,No,1.4,137.4446786,Flagelloscypha,Niaceae,Agaricales,Agaricomycetes,Basidiomycota
Flammulaster.limulatus,Gilled,Thick,No,1.882352941,113.4900346,Flammulaster,Inocybeceae,Agaricales,Agaricomycetes,Basidiomycota
Flaviporus.citrinellus,Resupinate,Thin,No,1.369565217,13.0874823,Flaviporus,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Fomes.fomentarius,Pileate,Thin,No,2.727272727,356.3744166,Fomes,Polyporaceae,Polyporales,Agaricomycetes,Basidiomycota
Fomitopsis.betulina,Pileate,Thin,No,3.666666667,9.719302272,Fomitopsis,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Fomitopsis.pinicola,Pileate,Thin,No,1.875,94.24777961,Fomitopsis,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Fomitopsis.rosea,Pileate,Thin,No,2.367346939,27.34324436,Fomitopsis,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Galerina.hypnorum,Gilled,Thin,Yes,1.714285714,194.8278319,Galerina,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Galerina.marginata,Gilled,Thin,Yes,1.652173913,246.6886544,Galerina,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Galerina.mniophila,Gilled,Thin,Yes,1.913043478,285.6394946,Galerina,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Galerina.pumila,Gilled,Thin,No,1.958333333,332.2234231,Galerina,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Galerina.stylifera,Gilled,Thin,No,1.555555556,111.3301897,Galerina,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Galzinia.incrustans.coll,Resupinate,Thin,No,2.5,15.70796327,Galzinia,Corticiaceae,Corticiales,Agaricomycetes,Basidiomycota
Ganoderma.applanatum,Pileate,Thick,Yes,1.477876106,209.3501385,Ganoderma,Ganodermataceae,Polyporales,Agaricomycetes,Basidiomycota
Gelatoporia.dichrous,Pileate,Thin,No,3.913043478,4.67410082,Gelatoporia,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Globulicium.hiemale,Resupinate,Thin,No,1,1194.492432,Globulicium,Pterulaceae,Agaricales,Agaricomycetes,Basidiomycota
Gloeocystidiellum.convolvens,Resupinate,Thin,Yes,1.583333333,33.57577149,Gloeocystidiellum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota
Gloeocystidiellum.leucoxanthum,Resupinate,Thin,No,2.727272727,356.3744166,Gloeocystidiellum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota
Gloeocystidiellum.luridum,Resupinate,Thin,No,2,168.3451876,Gloeocystidiellum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota
Gloeocystidiellum.porosum,Resupinate,Thin,Yes,1.666666667,35.34291735,Gloeocystidiellum,Stereaceae,Russulales,Agaricomycetes,Basidiomycota
Gloeodontia.subasperispora,Resupinate,Thin,Yes,1.777777778,15.90431281,Gloeodontia,Gloeodontiaceae,Russulales,Agaricomycetes,Basidiomycota
Gloeophyllum.sepiarium,Pileate,Thin,No,2.78125,71.57804702,Gloeophyllum,Gloeophyllaceae,Russulales,Agaricomycetes,Basidiomycota
Gloeoporus.pannocinctus,Resupinate,Thin,No,4.625,1.859822851,Gloeoporus,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Gloeoporus.taxicola,Resupinate,Thin,No,2.75862069,6.605198554,Gloeoporus,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Gloiothele.citrina,Resupinate,Thin,No,1,71.56940764,Gloiothele,Peniophoraceae,Russulales,Agaricomycetes,Basidiomycota
Glonium.nitidum,Pyrenoid,Thin,No,5.6,68.7223393,Glonium,Gloniaceae,Mytilinidiales,Dothideomycetes,Ascomycota
Godronia.urceolus,Discoid,Thin,No,41.66666667,110.4466167,Godronia,Godroniaceae,Helotiales,Leotiomycetes,Ascomycota
Gorgoniceps.aridula,Discoid,Thin,No,34.44444444,308.1460607,Gorgoniceps,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Gorgoniceps.hypothallosa,Discoid,Thin,No,9,190.8517537,Gorgoniceps,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Gymnopilus.penetrans,Gilled,Thick,Yes,1.684210526,141.7643685,Gymnopilus,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Gymnopilus.picreus,Gilled,Thick,Yes,1.583333333,268.6061719,Gymnopilus,Hymenogastraceae,Agaricales,Agaricomycetes,Basidiomycota
Gymnopus.androsaceus,Gilled,Thin,No,1.823529412,109.943471,Gymnopus,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota
Gymnopus.confluens,Gilled,Thin,No,2.071428571,69.75317439,Gymnopus,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota
Gymnopus.dryophilus,Gilled,Thin,No,1.692307692,45.62672455,Gymnopus,Omphalotaceae,Agaricales,Agaricomycetes,Basidiomycota
Gyromitra.infula,Gilled,Thick,No,2.484848485,1095.851331,Gyromitra,Discinaceae,Pezizales,Pezizomycetes,Ascomycota
Hamatocanthoscypha.laricionis,Discoid,Thin,No,3.727272727,13.15021597,Hamatocanthoscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hamatocanthoscypha.sp.nov,Discoid,Thin,No,3.16,38.77903432,Hamatocanthoscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hamatocanthoscypha.sp1.,Discoid,Thin,No,3.333333333,15.2681403,Hamatocanthoscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hamatocanthoscypha.sp2.,Discoid,Thin,No,3.136363636,26.22915706,Hamatocanthoscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hamatocanthoscypha.sp3.,Discoid,Thin,No,3.933333333,10.42616062,Hamatocanthoscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hamatocanthoscypha.straminella,Discoid,Thin,No,3.44,37.32212072,Hamatocanthoscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Helicobasidium.sp1.,Resupinate,Thin,No,1.857142857,500.2986301,Helicobasidium,Helicobasidiaceae,Helicobasidiales,Pucciniomycetes,Ascomycota
Helminthosphaeria.aff.carpathica,Pyrenoid,Thin,No,2.181818182,285.0995333,Helminthosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helminthosphaeria.aff.odontiae,Pyrenoid,Thin,No,1.8,176.7145868,Helminthosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helminthosphaeria.aff.pilifera,Pyrenoid,Thin,No,2.095238095,238.1229057,Helminthosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helminthosphaeria.cf.gibberosa,Pyrenoid,Thin,No,2.153846154,464.5630136,Helminthosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helminthosphaeria.ludens,Pyrenoid,Thin,No,2.75,1105.840614,Helminthosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helminthosphaeria.sp1.,Pyrenoid,Thin,No,2.454545455,320.736975,Helminthosphaeria,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helminthosphaeriaceae.sp.nov.,Pyrenoid,Thin,Yes,2.292134831,1269.112326,Helminthosphaeriaceae,Helminthosphaeriaceae,Trichosphaeriales,Sordariomycetes,Ascomycota
Helvella.macropus,Gilled,Thick,Yes,2.19047619,1991.573393,Helvella,Helvellaceae,Pezizales,Pezizomycetes,Ascomycota
Hemimycena.sp1.,Gilled,Thin,No,1.583333333,268.6061719,Hemimycena,Mycenaceae,Agaricales,Agaricomycetes,Basidiomycota
Henningsomyces.candidus,Discoid,Thin,No,1.144444444,81.90721097,Henningsomyces,Marasmiaceae,Agaricales,Agaricomycetes,Basidiomycota
Henningsomyces.pienikarva,Discoid,Thin,No,1.144444444,81.90721097,Henningsomyces,Marasmiaceae,Agaricales,Agaricomycetes,Basidiomycota
Hericium.cirrhatum,Pileate,Thick,No,1.333333333,28.27433388,Hericium,Hericiaceae,Russulales,Agaricomycetes,Basidiomycota
Hericium.coralloides,Branched,Thick,Yes,1.307692308,35.25701443,Hericium,Hericiaceae,Russulales,Agaricomycetes,Basidiomycota
Hilberina.aff.moseri,Pyrenoid,Thick,No,11.9047619,692.7211801,Hilberina,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Hilberina.aff.munkii,Pyrenoid,Thick,No,6.5,326.725636,Hilberina,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Hilberina.cf.caudata,Pyrenoid,Thick,No,11.875,596.9026042,Hilberina,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Humaria.hemisphaerica,Discoid,Thin,Yes,2.173913043,2596.722678,Humaria,Pyronemataceae,Pezizales,Pezizomycetes,Ascomycota
Hyalopeziza.millepunctata,Discoid,Thin,No,3.552631579,19.13818975,Hyalopeziza,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.albohyalina,Discoid,Thin,No,3.357142857,113.0482481,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.aureliella,Discoid,Thin,No,3.3,40.4970928,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.diabolica,Discoid,Thin,No,3.05,19.16371519,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.epiporia,Discoid,Thin,No,2.934782609,28.04460492,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.fuckelii,Discoid,Thin,No,3.1,38.04272354,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.intacta,Discoid,Thin,No,3.142857143,105.8324025,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.latispora,Discoid,Thin,No,2.191780822,83.70773625,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.leuconica,Discoid,Thin,No,3.81,41.3936248,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.quercicola,Discoid,Thin,No,3.4,41.72427743,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.sp1..nov.,Discoid,Thin,No,2.35,14.76548547,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.spiralis,Discoid,Thin,No,3.357142857,113.0482481,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyaloscypha.vitreola,Discoid,Thin,No,3.357142857,113.0482481,Hyaloscypha,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hymenochaete.fuliginosa,Resupinate,Thin,No,2.875,18.06415776,Hymenochaete,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hymenochaetopsis.tabacina,Pileate,Thin,No,2.3,28.2252465,Hymenochaetopsis,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hymenoscyphus.sp2.,Discoid,Thin,No,4.142857143,139.5063488,Hymenoscyphus,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hymenoscyphus.sp3.,Discoid,Thin,No,3.272727273,427.6493,Hymenoscyphus,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hymenoscyphus.vikgultorum,Discoid,Thin,No,5.833333333,123.7002107,Hymenoscyphus,Helotiaceae,Helotiales,Leotiomycetes,Ascomycota
Hyphoderma.cremeoalbum,Resupinate,Thin,No,2.086956522,311.6067213,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.definitum,Resupinate,Thin,No,3.846153846,103.6971013,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.incrustatum,Resupinate,Thin,No,2.777777778,198.8039101,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.obtusiforme,Resupinate,Thin,No,2,261.3412389,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.occidentale,Resupinate,Thin,No,2.736842105,230.3670988,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.roseocremeum,Resupinate,Thin,No,3,101.0218388,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.setigerum,Resupinate,Thin,No,2.266666667,93.87962422,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphoderma.sibiricum,Resupinate,Thin,No,1.777777778,127.2345025,Hyphoderma,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hyphodiscus.hemiamyloideus,Discoid,Thin,No,1.826923077,25.21913503,Hyphodiscus,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyphodiscus.hymeniophilus,Discoid,Thin,No,3.333333333,8.835729338,Hyphodiscus,Hyaloscyphaceae,Helotiales,Leotiomycetes,Ascomycota
Hyphodontia.abieticola,Resupinate,Thin,No,1.642857143,55.32148313,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hyphodontia.alutaria,Resupinate,Thin,No,1.461538462,39.40489848,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hyphodontia.barba.jovis,Resupinate,Thin,No,1.25,62.83185307,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hyphodontia.curvispora,Resupinate,Thin,No,3.6,5.522330836,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hyphodontia.efibulata,Resupinate,Thin,No,1.647058824,99.30378028,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hyphodontia.pallidula,Resupinate,Thin,No,1.777777778,15.90431281,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hyphodontia.subalutacea,Resupinate,Thin,No,4,16.83697313,Hyphodontia,Schizoporaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Hypholoma.fasciculare,Gilled,Thin,No,1.647058824,99.30378028,Hypholoma,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota
Hypholoma.polytrichi,Gilled,Thin,No,1.777777778,127.2345025,Hypholoma,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota
Hypochnicium.albostramineum,Resupinate,Thick,Yes,1.333333333,322.0623344,Hypochnicium,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hypochnicium.bombycinum,Resupinate,Thick,No,1.5,404.0873551,Hypochnicium,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hypochnicium.polonese,Resupinate,Thick,No,1.666666667,119.2823461,Hypochnicium,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hypochnicium.punctulatum,Resupinate,Thick,Yes,1.263157895,106.3232764,Hypochnicium,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hypochnicium.subrigescens,Resupinate,Thick,Yes,1,149.311554,Hypochnicium,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hypochnicium.wakefieldiae,Resupinate,Thick,Yes,1.260869565,188.2623941,Hypochnicium,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Hypomyces.rosellus,Resupinate,Thin,Yes,6.111111111,437.3686022,Hypomyces,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Hypomyces.semitranslucens,Resupinate,Thin,Yes,4.421052632,372.1314673,Hypomyces,Hypocreaceae,Hypocreales,Sordariomycetes,Ascomycota
Hypoxylon.fuscum,Stromatoid,Thick,No,2.076923077,447.9714774,Hypoxylon,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota
Hypoxylon.rubiginosum,Stromatoid,Thin,No,2.2,215.9844949,Hypoxylon,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota
Hysterium.pulicare,Pyrenoid,Thick,No,3.125,1256.637061,Hysterium,Hysteriaceae,Hysteriales,Dothideomycetes,Ascomycota
Hysterographium.fraxini,Pyrenoid,Thick,No,2.777777778,5367.705573,Hysterographium,Pleosporomycetidae,Hysteriales,Dothideomycetes,Ascomycota
Immersiella.caudata,Pyrenoid,Thin,No,12.22222222,874.7372045,Immersiella,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Inonotus.obliquus,Resupinate,Thick,No,1.541666667,261.5375884,Inonotus,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Basidiomycota
Irpex.litschaueri,Resupinate,Thin,No,2.380952381,17.3180295,Irpex,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Ischnoderma.benzoinum,Pileate,Thin,No,3.428571429,14.43169125,Ischnoderma,Fomitopsidaceae,Polyporales,Agaricomycetes,Basidiomycota
Jaapia.ochroleuca,Resupinate,Thick,Yes,2.7,265.0718801,Jaapia,Jaapiaceae,Jaapiales,Agaricomycetes,Basidiomycota
Junghuhnia.collabens,Resupinate,Thin,No,2.193548387,6.415524898,Junghuhnia,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Junghuhnia.luteoalba,Resupinate,Thin,No,2.555555556,11.70557423,Junghuhnia,Meruliaceae,Polyporales,Agaricomycetes,Basidiomycota
Kirschsteiniothelia.cf.atra,Pyrenoid,Thin,No,3.157894737,2126.465527,Kirschsteiniothelia,Kirschsteiniotheliaceae,Pleosporales,Dothideomycetes,Ascomycota
Kuehneromyces.lignicola,Gilled,Thick,No,1.69,84.82300165,Kuehneromyces,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota
Kuehneromyces.mutabilis,Gilled,Thick,No,1.69,84.82300165,Kuehneromyces,Strophariaceae,Agaricales,Agaricomycetes,Basidiomycota
Kurtia.argillacea,Resupinate,Thin,No,1.666666667,119.2823461,Kurtia,Corticiaceae,Corticiales,Agaricomycetes,Basidiomycota
Lachnella.sp1.,Discoid,Thin,No,2.46875,63.53556983,Lachnella,Niaceae,Agaricales,Agaricomycetes,Basidiomycota
Lachnum.corticale,Discoid,Thin,No,5.6,231.9378951,Lachnum,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Lachnum.pudibundum,Discoid,Thin,No,4,25.13274123,Lachnum,Lachnaceae,Helotiales,Leotiomycetes,Ascomycota
Lachnum.sp1.,Discoid,Thin,No,4.333333333,25.23572656,Lachnum,Lachnaceae,Helotiales,Leotiomycetes,Ascomycota
Lachnum.sp2.,Discoid,Thin,No,3.79,23.81327231,Lachnum,Lachnaceae,Helotiales,Leotiomycetes,Ascomycota
Lachnum.virgineum,Discoid,Thin,No,4.864864865,24.19222693,Lachnum,Lachnaceae,Helotiales,Leotiomycetes,Ascomycota
Laetinaeria.aff.uvidula,Discoid,Thin,No,1.943768997,434.9228378,Laetinaeria,Dermateaceae,Helotiales,Leotiomycetes,Ascomycota
Lasiosphaeria.hirsuta.tuberculosa.complex,Pyrenoid,Thin,Yes,10,2156.899706,Lasiosphaeria,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Lasiosphaeria.ovina,Pyrenoid,Thin,No,11.25,565.4866776,Lasiosphaeria,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Lasiosphaeria.pyramidata,Pyrenoid,Thin,No,12.5,628.3185307,Lasiosphaeria,Lasiosphaeriaceae,Sordariales,Sordariomycetes,Ascomycota
Laxitextum.bicolor,Pileate,Thin,Yes,1.9,23.31650798,Laxitextum,Hericiaceae,Russulales,Agaricomycetes,Basidiomycota
Lentaria.afflata,Branched,Thin,No,1.785714286,60.13204689,Lentaria,Lentariaceae,Gomphales,Agaricomycetes,Basidiomycota
Lentinellus.castoreus,Gilled,Thin,Yes,1.333333333,28.27433388,Lentinellus,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota
Lentinellus.flabelliformis,Gilled,Thin,Yes,1.466666667,60.7456392,Lentinellus,Auriscalpiaceae,Russulales,Agaricomycetes,Basidiomycota
